"date","npkg","nnew","ndrop"
2024-09-12,21316,14,0
2024-09-14,21328,13,1
2024-09-15,21340,13,1
2024-09-16,21356,19,3
2024-09-17,21370,15,1
2024-09-18,21383,15,2
2024-09-19,21389,9,3
2024-09-21,21399,12,2
2024-09-22,21400,2,1
2024-09-23,21397,13,16
2024-09-24,21402,6,1
2024-09-25,21417,15,0
2024-09-26,21431,14,0
2024-09-27,21434,5,2
2024-09-28,21429,0,5
2024-09-29,21429,0,0
2024-09-30,21441,13,1
2024-10-01,21438,5,8
2024-10-02,21454,17,1
2024-10-03,21465,11,0
2024-10-04,21476,11,0
2024-10-05,21477,1,0
2024-10-06,21477,0,0
2024-10-07,21486,9,0
2024-10-08,21492,6,0
2024-10-09,21492,0,0
2024-10-10,21500,9,1
2024-10-11,21510,13,3
2024-10-12,21507,0,3
2024-10-13,21503,0,4
2024-10-14,21512,14,5
2024-10-15,21515,5,2
2024-10-16,21528,13,0
2024-10-17,21538,10,0
2024-10-18,21543,5,0
2024-10-19,21559,1,0
2024-10-20,21555,0,4
2024-10-21,21574,21,2
2024-10-22,21586,12,0
2024-10-23,21581,0,5
2024-10-24,21588,11,4
2024-10-25,21612,27,3
2024-10-26,21612,0,0
2024-10-27,21611,0,1
2024-10-28,21624,13,0
2024-10-29,21628,4,0
2024-10-30,21629,1,0
2024-10-31,21622,9,1
2024-11-01,21631,10,1
2024-11-02,21631,1,1
2024-11-03,21634,4,1
2024-11-04,21624,8,18
2024-11-05,21626,11,9
2024-11-06,21639,18,5
2024-11-07,21639,5,5
2024-11-08,21651,12,0
2024-11-09,21650,0,1
2024-11-10,21653,3,0
2024-11-11,21649,16,20
2024-11-12,21658,9,0
2024-11-13,21668,12,2
2024-11-14,21684,17,1
2024-11-15,21692,8,0
2024-11-16,21694,2,0
2024-11-17,21694,0,0
2024-11-18,21693,4,5
2024-11-19,21701,12,4
2024-11-20,21709,11,3
2024-11-21,21727,20,2
2024-11-22,21730,6,3
2024-11-23,21729,0,1
2024-11-24,21727,0,2
2024-11-25,21723,5,9
2024-11-26,21729,8,2
2024-11-27,21735,7,1
2024-11-28,21744,10,1
2024-11-29,21753,9,0
2024-11-30,21753,0,0
2024-12-01,21753,0,0
2024-12-02,21768,16,1
2024-12-03,21767,7,8
2024-12-04,21764,3,6
2024-12-05,21777,16,3
2024-12-06,21781,4,0
2024-12-07,21781,0,0
2024-12-08,21782,1,0
2024-12-09,21794,12,0
2024-12-10,21803,10,1
2024-12-11,21815,12,0
2024-12-12,21817,7,5
2024-12-13,21826,10,1
2024-12-14,21826,0,0
2024-12-15,21825,0,1
2024-12-16,21830,7,2
2024-12-17,21836,7,1
2024-12-18,21847,12,1
2024-12-19,21860,13,0
2024-12-20,21867,8,1
2024-12-21,21867,0,0
2024-12-22,21867,0,0
2024-12-23,21876,9,0
2024-12-24,21876,0,0
2024-12-25,21876,0,0
2024-12-26,21876,0,0
2024-12-27,21875,0,1
2024-12-28,21875,0,0
2024-12-29,21875,0,0
2024-12-30,21875,0,0
2024-12-31,21875,0,0
2025-01-01,21875,0,0
2025-01-02,21875,0,0
2025-01-03,21875,0,0
2025-01-04,21875,0,0
2025-01-05,21870,0,5
2025-01-06,21870,0,0
2025-01-07,21877,8,1
2025-01-08,21894,17,0
2025-01-09,21908,14,0
2025-01-10,21887,12,33
2025-01-11,21888,1,0
2025-01-12,21883,0,5
2025-01-13,21893,17,7
2025-01-14,21906,14,1
2025-01-15,21925,21,2
2025-01-16,21936,13,2
2025-01-17,21942,9,3
2025-01-18,21942,1,1
2025-01-19,21939,0,3
2025-01-25,21973,41,7
2025-01-26,21940,0,33
2025-01-27,21946,8,2
2025-01-28,21951,6,1
2025-01-29,21968,18,1
2025-01-30,21975,9,2
2025-01-31,21994,20,1
2025-02-01,21996,2,0
2025-02-02,21987,1,10
2025-02-03,22001,16,2
2025-02-04,22009,8,0
